,sumdid,company,lat,lon,geometry,index_right,zip,objectid,po_name,shape_stlength,shape_starea
2859,Powered53C7N,Bird,36.126495,-86.816141,POINT (-86.816141 36.126495),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2860,Powered53f80a37-fcca-5973-bb74-4b67a4d6c565,Jump,36.1171,-86.8203,POINT (-86.8203 36.1171),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2862,Powered53RQ1,Bird,36.118081,-86.821675,POINT (-86.821675 36.118081),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2863,Powered53WHX,Bird,36.125077,-86.81572,POINT (-86.81572 36.125077),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2864,Powered53XF3,Bird,36.121225,-86.817825,POINT (-86.817825 36.121225),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2867,Powered540139,Lyft,36.125924,-86.814113,POINT (-86.814113 36.125924),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2869,Powered541668,Lyft,36.122587,-86.816949,POINT (-86.816949 36.122587),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2874,Powered543108,Lyft,36.120842,-86.812157,POINT (-86.812157 36.120842),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2875,Powered5439706,Spin,36.12314,-86.825085,POINT (-86.825085 36.12314),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2876,Powered544121,Lyft,36.11154,-86.831678,POINT (-86.831678 36.11154),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2878,Powered544d3bd9-52e6-55c5-ad66-d1e6c3b46e4b,Jump,36.1188,-86.8215,POINT (-86.8215 36.1188),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2881,Powered545792,Lyft,36.124876,-86.81454,POINT (-86.81454 36.124876),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2886,Powered547923,Lyft,36.12083,-86.814644,POINT (-86.814644 36.12083),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2888,Powered547ecb96-d9e9-5471-be64-a28a0f1509cf,Jump,36.1196,-86.8267,POINT (-86.8267 36.1196),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2895,Powered54d75401-73a4-5ea5-a26b-9d5639b5e32c,Jump,36.1011,-86.8284,POINT (-86.8284 36.1011),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2897,Powered54UP7A53OUKI2,Lime,36.120852,-86.814255,POINT (-86.814255 36.120852),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2898,Powered550,Gotcha,36.120969,-86.814544,POINT (-86.814544 36.120969),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2901,Powered55134b7a-6fbc-57f6-affd-5682f732c068,Jump,36.119,-86.8238,POINT (-86.8238 36.119),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2904,Powered552,Gotcha,36.120494,-86.805619,POINT (-86.805619 36.120494),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2906,Powered5532321,Spin,36.12574,-86.815894,POINT (-86.815894 36.12574),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2908,Powered553364,Lyft,36.125122,-86.832328,POINT (-86.832328 36.125122),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2910,Powered553924,Lyft,36.121717,-86.823876,POINT (-86.823876 36.121717),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2912,Powered554293,Lyft,36.125139,-86.813589,POINT (-86.813589 36.125139),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2915,Powered556164,Lyft,36.124121,-86.827258,POINT (-86.827258 36.124121),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2921,Powered5576507,Spin,36.12125,-86.809171,POINT (-86.809171 36.12125),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2929,Powered55UFSKAA5SHZ4,Lime,36.118995,-86.827293,POINT (-86.827293 36.118995),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2930,Powered560103,Lyft,36.120373,-86.831678,POINT (-86.831678 36.120373),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2932,Powered560287,Lyft,36.124439,-86.81636,POINT (-86.81636 36.124439),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2934,Powered5608291,Spin,36.12317,-86.81452,POINT (-86.81452 36.12317),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2935,Powered560985,Lyft,36.125265,-86.814441,POINT (-86.814441 36.125265),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2940,Powered5614e4fc-1971-5e5c-a545-0fd88cd3331d,Jump,36.119,-86.8183,POINT (-86.8183 36.119),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2943,Powered56318a8e-4ba3-51cd-b53b-895220507b46,Jump,36.1188,-86.82,POINT (-86.82 36.1188),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2945,Powered563647,Lyft,36.127606,-86.815724,POINT (-86.815724 36.127606),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
